Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['janet'],"I don’t know why this hits me so hard, in such a tender place. I remind myself once again that West isn’t my husband in the ways that matter. I shouldn’t let myself get wrapped up in this complicated, fucked-up family, especially since I have so much of my own complicated, fucked-up nonsense to figure out the second I land on US soil. But my heart doesn’t care that this isn’t my business; the odd combination of sadness and brittle love in [MASK]’s voice still makes me want to cry.",West,"nonsense such wrapped know don’t me business; that this so place. love in to my matter. land doesn’t ways voice makes the that I complicated, in I odd out cry. up US I once my combination soil. of of much myself I why my a this second the remind let myself sadness fucked-up have [MASK]’s family, shouldn’t me husband But hits get fucked-up care so since the still tender own that on heart West brittle isn’t to isn’t I hard, and my in want complicated, in again figure especially this",America
['janet'],"“To be fair, [MASK] started it.” I send a hand up around the back of his neck. “She asked when you were going to knock me up.”",Emma,"around asked up I back were you me neck. up.” to a his hand “To started [MASK] send “She knock fair, the going of it.” when be",Gatsby
['anna'],"Given what just happened between me and [MASK], and the way all my previous hesitations about physical intimacy seemed to simply evaporate the minute she was on my lap, I would expect to be on a high from her proximity and the way she so frankly confessed that I have someone in my corner. I have never, not once in my life, had someone show up for me so deliberately and unreservedly without wanting anything in return.",Emma,"wanting her she had hesitations happened have in confessed the show I she expect up be the so return. for and so I evaporate minute and I not seemed what from anything my someone would me frankly [MASK], to physical in deliberately my a and the have that just life, way lap, all corner. unreservedly on was my intimacy on my someone me never, to once Given without way previous simply proximity and about between high in",Emma
['anna'],It’s the idea of seeing [MASK] again tonight that makes my stomach feel hot and uneasy. It’s the echo of her words that turn my gut into a bubbling cauldron of anxiety.,Emily,of words idea turn that a feel seeing of hot It’s her again uneasy. It’s that my makes and gut tonight [MASK] cauldron anxiety. of stomach my the echo bubbling into the,Hermione
['mckellans'],"The packed agenda keeps us busy and all the socializing really does turn the island into a shoebox; every night there’s a gathering, a party, some way for my parents and the [MASK] to display their enormous wealth. Tonight is no different.",guests,"no way every the to and display parents for enormous agenda into turn is The all keeps busy gathering, us shoebox; their the my a wealth. [MASK] there’s really packed socializing party, a some night Tonight different. a island the does and",Gatsby
['anna'],"And as soon as I have the thought—of [MASK] back at the bungalow, alone, waiting for me, wondering what the fuck happened—that tightness is back, the feeling of something wrong inside me.",Rachel,"as me. [MASK] bungalow, inside of thought—of alone, for happened—that is wondering And fuck me, back, wrong as soon at the the waiting what something feeling tightness I the have the back",Mycroft
['anna'],"[MASK] MUST HEAR MY footsteps because she jogs around the lower deck to the wood slats of the bridge, throwing her arms up, hands resting on top of her head. She blows out a huge breath, turning in a half circle when she sees me. And the way it looks like she might cry makes me feel another strange wave of paradoxical anger.",She,"jogs of head. way sees to a of bridge, a arms looks on around she when her anger. resting huge throwing half might turning it up, feel slats wood another strange lower deck footsteps wave like me HEAR makes cry of MY the And out [MASK] the she top she in the her MUST blows breath, circle because paradoxical She me. the hands",She
['anna'],"[MASK] huffs out a laugh. “Oh, I will.” After another beat of silence between us, she takes a final, deep breath and then turns fully to me, smiling in a way that feels both familiar and devastating. Everything in her expression looks the same as it always does, but her eyes are completely blank. “I took the liberty of choosing a couple options for you for tonight.” She lifts her chin to the inside of the bungalow. “I laid them out on the bed.”",She,"always same devastating. feels a couple way the fully the completely tonight.” you “Oh, us, lifts and does, for a [MASK] “I her them that huffs laugh. in bed.” out silence another a her bungalow. I She then After Everything me, of final, deep of but liberty eyes will.” the and looks to chin to for a as both familiar the takes smiling expression choosing between in breath out the her “I are it of beat inside turns on took blank. options laid she",Gatsby
['jack lemmon'],"“Actually, I did,” she says. “Everyone was going through the trunks, pulling what they wanted, and I didn’t know where you were. I was worried all that would be left for you was the dress [MASK] wore in Some Like It Hot.”",Marilyn,"what It I was I “Everyone all you [MASK] know “Actually, were. Hot.” wore says. through for wanted, I they Like left did,” where you didn’t she that the would and be pulling worried dress was the trunks, Some in was going",Gatsby
['anna'],"IT TAKES ME ABOUT five minutes to get my tux on, and the remaining time before the party I spend on the deck, answering emails on my phone, responding to faculty texts and questions, and generally avoiding thinking about anything within a twenty-foot radius. Which is a strategy that is handily obliterated the second [MASK] walks out onto the deck in a cream satin dress that perfectly hugs her curves, and when she turns to blow out a citronella candle on the deck, I see that the dress dips so low in the back it reveals the twin shadows of her tailbone. The smooth expanse of her back is interrupted only by the tan line, which sends a fresh wave of frustration through me, and I look away, sucking in a deep breath.",Shea,"curves, citronella see reveals dips that and low time sends generally the away, is a The dress anything ABOUT by in so to questions, get interrupted on deep my radius. to deck and [MASK] the handily the satin phone, answering tux her deck, fresh and before only out shadows of that sucking candle on I a and I responding the the a back a the she that frustration through her tailbone. thinking cream twenty-foot her wave IT line, minutes it is a deck, TAKES remaining and the smooth turns the spend is a Which within tan party perfectly five texts obliterated breath. avoiding about the emails in back blow ME me, the expanse twin look hugs on of when which strategy to I on, second out my dress in of walks onto faculty",Gatsby
['anna'],"[MASK] goes quiet, and then I feel her coming closer. “We have to be friends again,” she says quietly. “We have a show to put on.”",Emily,"friends feel again,” coming [MASK] she and have “We then closer. put quietly. to quiet, on.” her be “We a says I show to have goes",Monica
['anna'],"“You look nice.” She reaches forward to adjust my lapel and our eyes meet. Her smile has a tiny bit of the real [MASK] in it. A tiny bit of knowing. Does she see straight through me? Does she know that every time I look at her, I want to run? My nostrils flare and the urge to bail on this party and tell her to go ahead without me sends a chill across my skin. But [MASK] just stares up at me and then laughs. “You’re such a weirdo.”",Emily,"tiny eyes [MASK] bit sends to lapel in on my this [MASK] my I tiny a she meet. and up party and of me Her her, without urge She go her to time and me nice.” look “You laughs. nostrils at forward me? at I a run? of has skin. stares then she see look A through Does to But want knowing. every that “You’re weirdo.” bit and ahead flare bail across chill the smile a such know My it. Does real to adjust straight reaches the tell our just",Her
['janet'],"“Imagine shipping trunks of old glam outfits here just for a party!” She pauses and snickers. “What if they sent the wrong ones? Like, imagine [MASK] opening it to find a bunch of furry outfits.” She laughs. “Or, like, Lord of the Rings cosplay.”",Madonna,"cosplay.” like, they ones? Lord just wrong old pauses outfits.” for it of a furry find opening Rings outfits She of the if laughs. shipping here to trunks party!” a glam sent snickers. “What imagine [MASK] and “Imagine bunch Like, “Or, of She the",Gandalf
['legolas'],"She laughs. “[MASK]. It was the saddest thing you’ve ever seen. Trust me, [MASK] would never be the drummer. Way too sweaty in that wig.”",Janet,"in me, thing Trust saddest be was ever sweaty would drummer. never the Way the laughs. too you’ve [MASK] wig.” She “[MASK]. It that seen.",Jem
['anna'],"[MASK] looks up at me, bumping my shoulder. “Careful. You might use up your word quota, and you’re committed to being monosyllabic tonight.”",Alex,"shoulder. me, [MASK] to bumping committed tonight.” quota, “Careful. use looks being up might you’re You up word monosyllabic at my and your",John
['anna'],"Gold dominates everything, from the towering croquembouche wrapped in golden spun sugar to yards of gossamer fabric and shimmering beads draped along the tent’s outer walls. It strikes me that there aren’t any flowers anywhere; instead, the real showstopper is a gilded tree in the center of the room, its branches heavy with pearls and teardrops of sparkling gems. I can only hope it’s all fake, because while what they’ve managed to pull off on a tiny island in the middle of the ocean is impressive, I agree with [MASK]: some beers and beach chairs would be preferable to this every time. If they wanted something this lavish, this elaborate, why not just host the wedding in California, where everything is right there?",Conrad,"ocean where some why the beads dominates is tree that time. the not I would every middle California, there? they teardrops it’s spun gossamer tiny they’ve all along this a the shimmering pull island of off heavy the Gold in lavish, the hope fake, something be yards aren’t a can wanted this of and outer managed what pearls croquembouche showstopper to on branches elaborate, only wedding strikes just wrapped in and to agree from the walls. is host chairs of preferable gilded beers instead, beach anywhere; flowers the sugar its with If tent’s of there impressive, center any in to golden this while the towering [MASK]: It me room, sparkling everything real draped with I is fabric because gems. in everything, right and",California
['anna'],"Next to me, [MASK] looks out over the extravagance and whistles. “Just another simple family get-together. I hope I never get used to this.”",Gatsby,"“Just extravagance simple family whistles. over the [MASK] another never get get-together. used looks me, hope Next and this.” to I to I out",Hope
['anna'],"[MASK] turns to me, arms outstretched dramatically like she’s ready for me to waltz her across the dance floor. She speaks out of her mouth, playfully old-timey: “What do you say, old chum? Ready for some hotsy-totsy?”",Daisy,"some old dramatically [MASK] mouth, turns to waltz the do ready her like outstretched out across for “What her of She Ready to old-timey: floor. she’s say, me you me, playfully for speaks hotsy-totsy?” arms chum? dance",Gatsby
['anna'],"With a groan, I take a glass of wine off the tray of a passing waiter and pull in a deep breath. [MASK]’s right: I’m being a basket case. If my urge is to run from her, to disentangle myself from whatever it is we started and which tripped this strange, impatient feeling in my gut, then the best thing for it is to imagine her moving on, to remind myself that, in only a handful of days, we will both move on, and in a matter of months, we will never have to see each other ever again.",She,"matter basket If on, it deep see imagine waiter will we again. will thing whatever myself moving my is started case. to and feeling impatient I a a to best the pull the gut, to a being right: of disentangle on, passing is it of in a a move [MASK]’s her, groan, months, glass off this my tray wine run tripped of each ever days, that, in we to other only never to is we both and urge a then which for strange, take a in from With have breath. in handful and remind her from myself I’m of",Clara
['anna'],"And yet here I stand, decidedly not finding my sister, instead watching heads turn as [MASK] crosses the room. This place is full of beautiful gowns, but nobody looks like her. Even if her dress is simple, it fits her like a glove—hugging the narrow dip of her waist, the flare of her hips, the decadent curve of her ass. Wherever fabric exposes flesh, her skin seems to glow under the strung lights.",Scarlett,"is flare ass. full fits waist, like Even This the the her. under decidedly lights. dress her not of the flesh, [MASK] place a is Wherever to here if of skin the I fabric turn strung hips, simple, her of seems beautiful sister, of glow like crosses exposes but room. nobody finding watching decadent curve as her And heads looks my stand, her the her yet instead gowns, narrow dip it her glove—hugging",Gatsby
['jake'],"[MASK] greets her with a kiss to the cheek, saying something that makes her burst out laughing bawdily. She does a little dance and [MASK] immediately joins in, sending the three of them into hysterics.",John,"kiss three them immediately a burst dance hysterics. joins a She the does makes and into that little bawdily. something with out greets in, saying her [MASK] of sending to her the laughing cheek, [MASK]",friend
['eko'],"“Hey, bestie, same.” I walk closer, offering a high five and sitting down beside her. “Didn’t you go snorkeling with [MASK] today?”",Alex,"a you with same.” five sitting her. go “Hey, and closer, “Didn’t today?” beside down [MASK] offering snorkeling I bestie, high walk",bestie
['reagan'],"[MASK] laughs down at her sand drawing. “Five more days,” she says. “I’m having fun but I miss my dog and my friends.”",Emily,"having “Five but I days,” and my dog friends.” at her says. more my laughs down she fun miss drawing. sand [MASK] “I’m",Charlie
['reagan'],"He blinks away, aiming a wry laugh down at the sand before he looks back up again. “Shots fired, okay.” He looks over at [MASK]. “Then would my niece like to dance with me?”",Emma,"the aiming okay.” away, down looks He looks me?” blinks before at again. “Shots “Then like sand niece would wry back he a dance fired, to up laugh with my over [MASK]. at He",Sanders
['reagan'],"He holds out a hand to [MASK] and I can’t blame her for the way she seems to enter a trance and take it, following him inside. I can’t resist following, either, and I was actively trying.",Juliet,"I I blame following trance the can’t either, trying. and enter her it, was can’t and hand holds for [MASK] out way to a actively following, to inside. He a I and take him seems resist she",Alice
['reagan'],"The pair practice together a few times, and when [MASK] starts to get the hang of it, West picks up the tempo, slowly drawing her into his arms and setting off around the floor, much to the delight of the growing audience. With a wicked grin, he deftly leads her in a simple dance around the room while I watch from the sidelines, stunned. [MASK]’s expression goes from reluctant and mortified to amused as he turns them to face the same way, kicking up their heels, then pulls her back to him, lifting her up to twirl her in a smooth circle. Her smile grows the more he sweeps her around the dance floor, and she breaks into delighted hysterics when he flips her over his arm. The captive audience watches as they come to a laughing, gasping stop at the end when West dips her and she throws her head back, laughing.",West,"dance a expression a few the much leads the audience. Her throws hang and tempo, heels, his them over him, to up her the simple pair up watch goes delighted as West pulls while from when up grin, to wicked setting gasping he he circle. into she slowly into flips the arm. her around off the back they dips the practice come her of amused times, he hysterics the around and the in get kicking the breaks deftly and With same her the grows drawing dance and back, to [MASK] of more audience head sweeps she I around The delight watches from floor, The smooth way, to to the her in a when it, he a at laughing, growing floor, when room reluctant mortified together stop turns her face to West end their twirl [MASK]’s and as laughing. her arms starts sidelines, a stunned. then captive lifting her to picks her smile his",Gatsby
['reagan'],"Frankly, he’s an amazing dancer. I saw it when he was with [MASK], but I feel it now, the way my feet barely touch the floor. Which is good, honestly, because I have no real idea how to dance to this kind of stuff. I was basically going to show [MASK] that there’s no wrong way to dance, but I suspect in this crowd, that isn’t true.",Ginger,"to touch I he’s but how this feet dancer. way he show that I real my suspect I dance, kind but there’s dance no going Which that honestly, to saw an Frankly, way idea of to because isn’t was floor. it when crowd, to the wrong now, it was in stuff. [MASK], have no true. with I basically [MASK] the feel amazing I barely this good, is",Fred
['anna'],"“[MASK],” he says, his lips brushing my ear. I ignore this subtle call for my attention, and I definitely ignore how much I like it when he calls me [MASK]. “I’m sorry.”",Baby,"and me this “[MASK],” he brushing my ignore sorry.” like I lips attention, I ignore call for it how ear. he when definitely “I’m says, my subtle I his [MASK]. much calls",Honey
['alex'],"With relief, I watch West return, our drinks in hand. His expression darkens when he sees [MASK] at my side. He approaches, handing me a glass and bending in to kiss my jaw.",East,"my expression sees glass handing He my he hand. watch With jaw. a side. relief, darkens [MASK] me when His and our kiss in in I at West to approaches, return, bending drinks",Gatsby
['alex'],"West takes a sip of his drink, and I want to lick the taste off his mouth. “I don’t like it. [MASK] doesn’t really do conversation for the sake of conversation.”",Easton,"the his his it. really taste sip West and [MASK] off a takes of do “I sake like want doesn’t for lick I to conversation drink, conversation.” of don’t mouth. the",Gatsby
['anna'],"I shake my head, laughing, and look out at the water. [MASK] threads her arm through mine, leaning her head on my shoulder. “Is there anything you own that you cherish? Or does the ability to buy anything make everything lose its value?”",Anna,"[MASK] you head its my ability cherish? at shoulder. anything through laughing, threads look head, the and out “Is arm lose everything her her water. own that buy to on I value?” there shake the Or anything does mine, you my make leaning",Alice
['alex'],"“I always assumed I was so grounded—like rooted in reality or had a perspective on the world my siblings didn’t have because I’d seen so much of it and didn’t ever really want things. Looking back, I was insufferable. I’m sure I made [MASK] feel like a materialistic idiot. Because, of course, the punch line is that I had more privileges than any of them. I didn’t only have money—I had love, I had access, I had our father’s esteem. I had the knowledge that I could walk into any room in the world and get exactly what I wanted.” I look down at the sand between my feet, realizing I’ve rambled off topic. “The things I own that mean the most to me are my grandfather’s watch and my grandmother’s wedding ring. But I think the better answer to your question is that the second part is true: when you can afford anything, nothing is interesting anymore, and there’s something really depressing about that.”",myself,"question my the didn’t But had I’m I punch that money—I I I me esteem. had there’s rambled something [MASK] could only of I off better more own a in didn’t that are had ever much the is the I I “The mean world anymore, to about is line and walk wanted.” because any second my didn’t interesting realizing our love, can want I room get back, the knowledge down that sand materialistic feel wedding is nothing “I that.” between in grandfather’s true: was depressing any so I I topic. I perspective things. than siblings have have and of you made world had idiot. grandmother’s feet, like my exactly afford insufferable. I I Because, the had assumed the was so them. always sure think really or privileges is really I answer of a had part I’d seen and I’ve when that things the rooted anything, your the look most what course, ring. and grounded—like to my it father’s reality watch into access, on Looking at",Gatsby
['anna'],"After I’ve been quiet a long time, [MASK] leans forward into my field of vision. “I’m sorry. I went way too serious. Should we talk about red pepper flakes and Parmesan again?”",Augustus,"sorry. talk I Should and again?” “I’m pepper long way quiet went flakes Parmesan vision. a serious. been [MASK] too After forward we about into my field red of leans I’ve time,",Parmesan
['anna'],"“How did you even know this was here?” [MASK] asks, looking at the only structure on this side of the island, a circular teak pavilion, its pitched roof rising out of the darkness. Attached to the back side of it is a small industrial kitchen.",Character,"back was pitched the of the did here?” this pavilion, the industrial looking a on small kitchen. know it out to of of even “How rising you roof its circular a teak is Attached side this only [MASK] asks, side structure the island, at darkness.",Jonas
['anna'],"The kitchen is spotless and stark; our footsteps echo on the tile floor. To the left, there’s a long wall of gas ranges, and in front of us is a stretch of stainless-steel prep counters with a sink at the end of each. At the back of the room are two large walk-in refrigerators and a walk-in freezer. We could certainly order room service and have anything we wanted delivered to our bungalow, but if I’m starting to feel claustrophobic among all the excess, I’m guessing [MASK] has to be feeling it, too.",James,"wanted refrigerators floor. and ranges, to feel room freezer. feeling our excess, and The to two there’s have [MASK] of bungalow, of sink a if prep anything our a guessing order in all I’m the long we of tile back end stretch stainless-steel it, counters starting echo the is a At among certainly could kitchen but stark; on delivered the the the walk-in be spotless the service We is at To and gas with to has walk-in each. left, room wall large I’m are footsteps and front too. a of claustrophobic us of",Gatsby
['anna'],"“Imagine we get locked in one of those,” [MASK] says, “and they find us days later, wearing salami and cheese to stay warm.”",Joey,"find days later, stay they locked of to we in “and salami [MASK] “Imagine cheese get those,” one us warm.” and says, wearing",Salvatore
['anna'],"When she shifts, she presses herself against my cock. With a quiet moan, [MASK] drags her teeth up my neck to my earlobe and I slide my hands over her back, bare in the plunging dress.",Anastasia,"over my quiet in my neck my slide When teeth and dress. plunging up drags her bare shifts, the I she hands presses my against to moan, a cock. she With her herself earlobe [MASK] back,",Rebecca
['anna green'],"And this, right here, is where I don’t know what to do. I don’t know whether I’m supposed to laugh at [MASK], ravage her, or marry her all over again—but this time for real.",Daisy,"here, or where is supposed right time laugh don’t to do. again—but I don’t at know I’m all ravage marry And I her, over this real. [MASK], her this, for what know whether to",Ophelia
['anna'],"I’m not sure whether I ever fully fall asleep, but I’m not suffering. For a few hours I’m in that syrupy, hazy place, with waves crashing nearby, cool, humid air pressing on my overheated skin, and [MASK] warm and asleep in my arms. Dreams flirt with the edges of my mind: mouths coming together, her soft cries, the wet sounds of our sex, the feel of her beneath me.",Anna,"my I my warm soft with on the of [MASK] skin, crashing cool, our wet of air arms. asleep, suffering. fully mind: the asleep and but few edges coming overheated syrupy, not Dreams place, of not a sex, my I’m hours beneath mouths humid that flirt with in and fall whether I’m me. ever I’m waves sounds her hazy nearby, her together, the feel sure pressing cries, For in",Anna
['anna'],"[MASK] sleeps facing me, both her arms tucked against her chest and by default against my chest, too. She barely moves once her face is firmly pressed to my neck, almost like a button has been pressed in her brain that lets her fully power down. Has she slept like this with someone else? She must have, of course. The thought lands with a slice, a quick, sharp paper cut, and I have to shove it away. To me, everything with her is so raw, so candid; that transparency in both conversation and sex is new to me, almost embarrassingly so. I want to lie to myself and think it’s the same for her.",Lola,"shove like To firmly think cut, a arms her paper is my The her for sharp her me, course. myself that button sleeps I raw, of to facing like someone has fully pressed a candid; her against is neck, me, face to that to both too. conversation the and sex with must She her new so else? it down. [MASK] almost lie both been is in chest against my to by to moves brain her slice, and thought so. pressed a and with once her. almost barely and quick, away. with chest, She lets everything I same she lands tucked default power Has so have transparency want me, embarrassingly in it’s have, slept this",Emma
['anna'],"Insects and birds are coming to life, whirring, chirping, calling to each other from every measure of distance, and at the suggestion of creatures out in the darkness, [MASK] goes rigid in my arms. And then she presses forward, curling inward, like she’s trying to climb into my clothes. “Oh God, please don’t mention wilderness.”",She,"forward, birds please from mention wilderness.” into out like God, goes arms. measure she’s And of my in coming climb calling to curling whirring, darkness, to creatures she presses rigid clothes. suggestion my and at the “Oh are [MASK] trying chirping, Insects distance, and don’t of inward, other to life, every the each then in",Emily
['anna'],"[MASK] wiggles some more, but this time it seems to be less about escaping from bugs and more about finding ways to create friction between our bodies. “I don’t want to get up.” Her wiggling turns into grinding, and she sneaks a hand between us, palming my erection. Warmth bleeds into my limbs, and I press forward, dizzy with a rush of desire.",She,"of more and and don’t us, into Warmth this [MASK] ways up.” some she turns dizzy but want sneaks desire. forward, escaping with bugs erection. finding my time into rush be to between wiggling palming Her about from grinding, friction wiggles bleeds and more, a a press to get seems limbs, to I between my about it create our hand “I less bodies.",Warmth
['anna'],"I’m not sure what brand of quiet she’s experiencing, but [MASK] tucks her face back into my neck, mumbling a “good” after what feels like an eternity. Her hand slides up to rest on my waistband, and I hate that I’ve just cooled the moment when all I want is her touching me.",Emilia,"hand my she’s the is that face an feels brand like just and on my eternity. a after touching slides tucks back Her I mumbling experiencing, [MASK] I’ve quiet I I’m me. when what what to “good” of hate waistband, moment not all her sure rest cooled her neck, up into want but",someone
['anna'],"The horizon has a telling glow to it, the lazy prequel to a sunrise, and I suspect it’s probably sometime just after five. Dad will be up and out soon, and what I want to do to [MASK] will take much, much longer than we have.",Dad,"want do has have. it’s to I telling a and glow horizon much after than out lazy will sunrise, it, to and I suspect sometime prequel and soon, to a to be [MASK] up longer The much, we just Dad five. the what take probably will",Dad
['anna'],"[MASK] stretches, kissing my chin, my jaw, my neck. Her hand slides down again, gripping me through my pants, teasing me with a tight squeeze. “We are alone.”",She,"my tight hand teasing slides gripping “We kissing [MASK] down again, my squeeze. my neck. with my a me through pants, Her chin, me stretches, jaw, are alone.”",Her
['anna'],"This has the effect I’d hoped, and [MASK] peeks past my shoulder at the band of light just at the horizon. With a reluctant groan, she shifts her hand from me and slowly pushes up onto her side, bracing back on a palm as she sleepily blinks out at the cornflower-blue darkness all around us. “Are we going to be able to find our way back?”",She,"she shifts hand me as able my bracing “Are on way groan, her at from reluctant slowly cornflower-blue sleepily With onto to going darkness we a the the peeks out at [MASK] side, shoulder past has back at of effect a blinks to I’d our the find her and us. hoped, palm band just light back?” and she This pushes the all around be horizon. up",Gatsby
['anna green'],"But there’s also something vulnerable about her that has my chest constricting. She’s hunched over, hugging her knees, and her spine presses against her skin, sharp little points all the way down her back. Her personality is so big, her confidence so solid, that until I had my hands all over her last night, I didn’t fully realize how slight she is in more tangible ways. The view of her from behind in the blue-black darkness sends something inside me emerging protectively. It’s easy to forget, while she’s here and dressed in designer clothes, overfed at every meal, and basking in sunshine, that her life back home is hard, that she’s barely scraping by. That this trip is a break from her reality, and when she returns to Los Angeles, she’ll become that other version of [MASK], the underemployed one, the one with food insecurity and unpaid bills, the one with responsibilities she’s hinted at but never fully detailed.",Hannah,"but of all That the view realize tangible she night, clothes, her fully had her her that ways. trip my sends one and she’ll her that she’s I behind and something life hugging from she’s over every personality also returns responsibilities that skin, knees, all and is But over, me bills, she’s how unpaid slight version by. is detailed. little confidence in dressed in Her hunched a big, that home She’s when back her hands constricting. her break points easy It’s she to forget, basking her more last become overfed fully her vulnerable meal, with scraping [MASK], against until inside barely is with solid, one sunshine, the here designer Angeles, has down in of insecurity other sharp something back. so blue-black so and never this in the about at from chest protectively. reality, to way spine there’s Los while the the is presses and darkness one, my her emerging The hard, hinted underemployed her that didn’t at I food",Los
['ray'],"“Should we go?” she asks, setting her hand over mine on her chest. “This feels like the start of something we don’t want [MASK] to see.”",Mom,"her see.” don’t feels she we her “This on [MASK] mine “Should asks, like setting we hand to of want start chest. over something go?” the",Emily
['anna'],"Laughing, I push myself to standing, extending a hand to her. [MASK] stretches, wrapping her arms around my neck. “I’m sad to leave the spot of the best night ever.”",She,"to best leave spot I the “I’m ever.” stretches, my wrapping a myself the to night hand sad push her neck. Laughing, extending to standing, her. around arms [MASK] of",Gatsby
['anna'],"I suspect the only thing that would tip my family off to our scheme more than [MASK] and me appearing to know nothing about each other is how we suddenly seem like newlyweds, blocking out everything else on the island.",Ben,"else newlyweds, my to nothing seem that off know the more [MASK] and everything blocking scheme me out how other to only than suspect the suddenly appearing I our thing island. family is we on tip like each would about",Robinson
['anna'],"Drunk with lust, [MASK] drags me up her body, flips us over, and sinks down on me, seeking, it seems, every possible way to drive me to madness: fingernails digging into my chest, teeth scraping my neck, the way she lifts her hips just as I think I might come, teasing and withholding her slick heat, giving me only the barest friction until I feel like a barbarian, rolling on top of her and pinning her wrists over her head, fucking her with a desperate fury that leaves me gasping and astounded and leaves her poured like warm honey across the sheets.",She,"my wrists her me her on down way a madness: the until that with just her fingernails drags warm neck, head, body, leaves leaves over, might poured scraping barest slick her across pinning friction way teasing and top barbarian, sheets. the drive possible of on her and me it to me into her like honey only her withholding up come, flips giving I [MASK] every chest, with I rolling us think lust, she me Drunk over astounded a and me, as and feel my gasping and desperate seems, sinks digging teeth fury fucking like to seeking, lifts I her the hips heat,",Heathcliff
['anna'],"We fall asleep in a breathless stupor, waking hours later, exhausted and starving. I don’t think either of us cares for one second what we look like emerging from our bungalow, but [MASK] looks stunning anyway. Her hair is in a messy bun on top of her head, her face free of any makeup, and the glow of pleasure lights her skin from beneath. She walks beside me along the beach to the café for lunch, her legs long and bare in cutoff shorts, arms supple and tanned in a simple white tank, and I slide my hand into her back pocket, relishing the way she fills my palm as she walks.",She,"don’t the beach skin walks. slide white she for We fall in makeup, think for palm along long is pocket, later, any pleasure her simple relishing of her I messy top anyway. from stunning head, but and hours of to hand [MASK] café us our into bare from face supple walks emerging bun and and free bungalow, what in second the She we a in of one her she lunch, shorts, starving. looks beneath. back arms my lights Her like and her my either the I tank, waking and asleep fills her stupor, the beside me hair cutoff a a legs on in of cares glow tanned way as breathless look exhausted",She
['anna'],"My hand finds its way to her thigh, my food forgotten. Her skin is satin on my fingertips, and I think about kissing it not three hours ago, think about how hard I took her after, and the way the mess of her desire spread down her thighs, right where I’m touching. She turns to capture my mouth in a kiss, her sweet pineapple tongue sliding with mine. [MASK] reaches with one hand to dig into my hair and I don’t care who’s there, who might be watching. I don’t think about anything but her.",She,"and into her and three about the pineapple I anything how think thigh, is care Her spread think on one way mouth mess right finds tongue She sliding don’t to way I’m kiss, to [MASK] her watching. forgotten. who hand after, thighs, skin it reaches my where about her hours to desire hard her. her and might in capture fingertips, don’t be of food hand kissing about a turns mine. her my touching. with I my but hair the down its there, sweet who’s took think satin with I dig ago, My I not my",Anna
['anna'],"Starting that first day after we make love, it might as well be just the two of us on the island. While everyone else is at a sunset game night, [MASK] and I hike to a secluded cove where we skinny-dip and then collapse on a blanket where she shimmies down my body, teeth dragging down my abdomen, teasing my cock with her kisses and tongue under the moonlight. The following morning, we wake slowly, lazily, making languid love with me curled behind her, my hands roaming the warm front of her body. We book a private boat to take us to a reef a few miles offshore where we snorkel and enjoy lunch on the deck, and I trace patterns on [MASK]’s stomach as she sunbathes topless on the bow. Later, we tumble into our bungalow, where I finally play out the fantasy that looped in my mind for hours: straddling her ribs, roughly stroking my aching length, spilling on breasts still warm from the relentless sun. We have dinner that night at Jules Verne, at the table in the most private corner, hidden by the branches of a giant mangrove, and I have no idea whether anyone looks our way; all I know is no one dares to join us.",Emily,"on her night, languid everyone secluded most sun. on from curled under aching a that the play moonlight. and dragging body. [MASK]’s length, book as down and my cock way; love and following night is to have a hike deck, private breasts with my the few might abdomen, then at she teeth take to Verne, warm sunset just her private fantasy where enjoy a to in I blanket bungalow, our finally a offshore mind spilling know Starting we While the my is into stomach out no where we We by dares island. I us. wake and on with we be the roughly I a roaming the [MASK] as giant down skinny-dip hands day the our where lazily, miles it patterns a the reef looped that relentless behind on the hours: my to her, cove on looks first make on kisses and stroking she of well sunbathes else the us of for join tongue trace I have game snorkel still straddling me at us one that morning, body, mangrove, teasing ribs, all where topless and I two my branches The slowly, whether bow. after the the front table collapse Jules shimmies we idea a at anyone warm love, of no tumble my corner, we making dinner Later, lunch hidden We boat in her",Jules
['anna'],"It’s only later that second night—after we walk back to our bungalow, after [MASK] wraps her legs around me and I take my time feeling every inch of her, after I hold her boneless, sweaty body in my arms while she comes down—that we finally, truly talk.",Daisy,"I and she my arms body comes her, walk take me legs hold second truly wraps back we finally, after talk. only I we of inch her feeling [MASK] night—after her down—that around time my sweaty every after boneless, later our in that while to bungalow, It’s",Gatsby
['anna'],"“Yeah.” She stares at me, brown eyes luminous in the moonlight streaming across the bed. [MASK] traces a finger down my throat, bringing her hand to rest over my heart.",She,"eyes “Yeah.” the bringing luminous my streaming [MASK] stares finger hand a across in brown to heart. at She traces throat, down the bed. moonlight rest her my over me,",Hazel
