en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"Margaret arrived and collared me by the front door. She was dressed, with her usual eccentricity, in periwinkle velvet flares and a cashmere jumper embroidered with an angry-looking duck.","""title"": ""Where'd You Go, Bernadette"", ""author"": ""Maria Semple""",['margaret'],"with arrived eccentricity, me and her angry-looking and by cashmere with embroidered jumper She dressed, usual an collared velvet Margaret the periwinkle duck. in flares door. a front was","""title"": ""The Secret History"", ""author"": ""Donna Tartt"""
"Margaret waved her phone at me. There was a slightly scuffed holographic sticker on the back, from some children’s TV show aimed at stoned adults. It felt funny to live in a world where she knew what it was and I didn’t.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['margaret'],"I it Margaret me. show she stoned a in adults. scuffed at was a what to world and on at phone didn’t. some felt the aimed holographic sticker It was from where live funny TV knew her There children’s slightly back, waved","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"Margaret stuck her hand into the theremin’s sensor field. Nothing. I reached out and gently laid my hand over hers. The theremin sang wheezily. I pulled back, and it stopped.","""title"": ""The Particular Sadness of Lemon Cake"", ""author"": ""Aimee Bender""",['margaret'],"Nothing. hand I and theremin Margaret over theremin’s The wheezily. stuck laid and my it I field. hand out reached the sensor hers. into sang stopped. her back, gently pulled","""title"": ""The Time Machine"", ""author"": ""H.G. Wells"""
"Margaret tossed her shining hair over her shoulder and frowned at the theremin. After a few seconds, her hand trembled, and the theremin squeaked.","""title"": ""The Dispossessed"", ""author"": ""Ursula K. Le Guin""",['margaret'],"the Margaret and hand trembled, hair a After her squeaked. shining seconds, tossed over the theremin her frowned and theremin. her few at shoulder","""title"": ""The Shining"", ""author"": ""Stephen King"""
"Graham came over and stood between us. He ran his fingers through the air above the machine, as if dabbling them in a stream. The machine popped once but was otherwise silent.","""title"": ""The Machine Stops"", ""author"": ""E.M. Forster""",['graham'],"fingers through but Graham if popped them stood He over us. machine silent. otherwise a as the stream. air in The machine, came was ran the between once and dabbling his above","""title"": ""The Machine Stops"", ""author"": ""E.M. Forster"""
"Graham reached out with both hands and grimaced with concentration. He spread his fingers and bit his lower lip. Then, abrupt and cackling, came the opening notes of “Greensleeves.” We burst out laughing, and he treated the three of us to one of his rare, full-wattage, full-dimpled grins.","""title"": ""The Shining"", ""author"": ""Stephen King""",['graham'],"both Then, his rare, out and fingers and of laughing, reached of he concentration. abrupt three with hands grins. He notes Graham with his the lower spread his us of one came cackling, We grimaced opening and burst full-dimpled and out full-wattage, the to treated bit lip. “Greensleeves.”","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"I flinched before I remembered: on my ascendance to the time-travel project, the Ministry had created a shell role for me in Languages, as a translator on a top secret project. My family assumed I’d been promoted to the role of Miss Moneypenny.","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['moneypenny'],"created role I the remembered: a Moneypenny. a of role time-travel top I a to my the for family Ministry been project, as shell translator Miss project. My assumed me I’d flinched to secret promoted ascendance in had Languages, on before the on","""title"": ""Unknown James Bond novel"", ""author"": ""Ian Fleming"""
"As I watched my family begin the complicated process of resuscitating the camping stove, I had a sense of terrific coldness, as if a wall had fallen away and left the room exposed to the December night. Perhaps I should have a gun? The Brigadier undoubtedly had one, maybe even Salese, and now I knew they were threats—or, at least, entirely unsanctioned. What had the Brigadier gleaned from his access to the Ministry? Did he know where my family lived? My mother, who had seen enough terror for six lifetimes? My father, so anxious about conflict he hoarded decade-old parking tickets? My sister, who thought herself brave, who thought rolling soft-side up would shame the dominant animal? Was I safe? Wasn’t I Ministry?","""title"": ""The Ministry for the Future"", ""author"": ""Kim Stanley Robinson""",['salese'],"My Brigadier access up Did room were left gun? resuscitating animal? stove, wall mother, process tickets? complicated of had exposed I terrific knew sister, Ministry? What sense undoubtedly his one, the Salese, threats—or, for conflict lifetimes? December where As My I know Perhaps to and My soft-side gleaned I father, a coldness, I terror shame enough the fallen anxious family family Ministry? six had had rolling my he as he who unsanctioned. night. about watched should the to begin a if they I my dominant even parking decade-old brave, have would the herself thought the camping at Brigadier had away of from thought The hoarded least, now who I had who lived? seen entirely Wasn’t and a Was maybe the so safe? the","""title"": ""The Ministry of Fear"", ""author"": ""Graham Greene"""
"Every time I told Graham something—about myself, about my family, about my experience of the world we shared—I was trying to occupy space in his head. I had ideas for the shape I should take in his imagination. I told him only what I wanted him to know and believe about me. But afterward, I’d sometimes feel ill, like I was glutted on sweetmeats and dizzy with wine. It seemed a reckless indulgence: to have the appetite to admit, for certain, what I was and was not.","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller""",['graham'],"have head. I glutted imagination. myself, ideas to take space I family, appetite the for was But I sweetmeats admit, I in had to to I’d wanted believe to his I was dizzy what about in on about ill, indulgence: feel sometimes It not. his we Every experience only was like trying my seemed world the a for the him with my something—about of what told about certain, Graham wine. reckless know shape should told and time was and him afterward, occupy me. I shared—I and I","""title"": ""The Tenant of Wildfell Hall"", ""author"": ""Anne Bronte"""
"The great project of empire was to categorize: owned and owner, colonizer and colonized, évolué and barbarian, mine and yours. I inherited these taxonomies. This, I think, was the reason I played fuck-about-Fred with my ethnic identity as much as I could. “They” are still in charge and even when “they” are saying marginalized instead of mongoloid they are still acknowledging that we are an issue to be dealt with. When would it be my turn to hold the carrot and stick? My sister had grandiose chat about dismantling the carrot-stick complex altogether, but this manifested in being upset all the time, tweeting enthusiastically about debut authors of color who never seemed to publish second novels once the publicity cycle ended, and being underpaid.","""title"": ""Luster"", ""author"": ""Raven Leilani""",['fred'],"stick? these could. complex project to color instead to it and being reason This, “They” and the upset in are even the of taxonomies. are I in with fuck-about-Fred évolué I when great ethnic be debut are hold be who manifested and are issue of the I tweeting ended, turn mine second categorize: we grandiose owned being seemed marginalized and sister enthusiastically the my owner, dismantling and still underpaid. The as was and inherited my to colonized, carrot-stick about colonizer carrot had cycle all once chat played they with. publicity empire think, much an I “they” My dealt but When to acknowledging authors this and time, about of altogether, novels charge that mongoloid barbarian, would as yours. saying still never the publish was identity","""title"": ""Detransition, Baby"", ""author"": ""Torrey Peters"""
"Loyalty and obedience are fostered by stories. The Ministry and its satellites were staffed by people who believed they’d smoke one last jaunty cigarette in the eye of a gun. The truth was that we were shackled to the idea that the orders were good and the job was good. Keep calm is just another order like Shoot that man or Delete the rest. We carry on. Most of us would beg a bullet for kindness. Graham, I think, was one of the few people I’d ever met who could face death with that defiant cigarette, and that was partly because he was a nervous smoker.","""title"": ""The City &amp; The City"", ""author"": ""China Miéville""",['graham'],"truth few cigarette Ministry by people like good. or of believed to Delete orders think, staffed that idea the a one one obedience who jaunty man was he was bullet The I Graham, face the beg were fostered could the its smoker. smoke a that we a by us satellites they’d We nervous of with the met that would and order kindness. stories. shackled for were ever last just in that partly death cigarette, the eye Loyalty because rest. good I’d another calm of was Most are Keep is and and on. gun. was the job and were who Shoot defiant The carry was that people","""title"": ""1984"", ""author"": ""George Orwell"""
"The wife—the widow—is at the front of the group. She is small, a bantam woman. Black hair. Brown skin, bright and clean. Cheeks vivid with last night’s tears. Her eyes are dry, and her lashes grow downward, giving her stare a strangely veiled effect. Her mouth is very beautiful, a color that Gore will remember and try to name for a long time afterward. She looks at him. It’s a look that puts him against the horizon: not insignificant, but like something that can be pressed up by thumb.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz""",['gore'],"him not night’s and downward, Gore tears. and effect. the group. dry, a her bright the She eyes small, bantam woman. lashes mouth time long Black can name will very skin, stare a up at be that looks widow—is her a grow of giving Brown insignificant, hair. look last clean. remember against afterward. by pressed for him. The strangely is It’s to something She at color veiled beautiful, the Her like Her Cheeks and thumb. are try a that horizon: that wife—the with but front puts a vivid is","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"I returned home in the New Year. Something had shifted in the narrow landscape of the house. The rooms felt connected where they had felt merely contiguous. Graham smiled at me sometimes, a vague confused smile as if I was a task he needed to complete but had forgotten the genesis of. One afternoon in the kitchen he took me by the shoulders and moved me so that he could get to the cups. He touched me so rarely that he might as well have wrapped my hair around his fist and cut it off with sewing scissors. I felt him on me all afternoon.","""title"": ""The End of Eddy"", ""author"": ""Édouard Louis""",['graham'],"his that hair the smiled forgotten but needed afternoon. sometimes, rarely One confused as a he cups. so had me felt I off they on in him wrapped and genesis me New Graham moved in fist that shoulders narrow well my me the had vague complete sewing the me I he all the around had to He contiguous. shifted it connected so touched the to merely house. the smile he in home and of. at he was if Something me afternoon a kitchen could where as have returned get of The landscape task felt cut by felt might Year. the I scissors. with took rooms","""title"": ""Mrs. Dalloway"", ""author"": ""Virginia Woolf"""
"“It’s better that we continue to work closely with Eighteen-forty-seven,” Adela had said, “given that he seems likely to survive the year.”","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['adela'],"seems the closely Adela had work Eighteen-forty-seven,” better “It’s that that to to likely survive “given with he continue we year.” said,","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"At the crux of all the time-travel hypotheses was the question: How do you measure a person? Graham scored very high on spatial-reasoning tests and well on verbal-reasoning tests. He was, according to his psychoanalyst, dangerously repressed; but then again, according to the acclimatization examiners, he was gregarious and confident. He was the eldest of five children, after the death of his older brother at sea. He was an inch below average height, though in his own era he had been two inches above it. He had hazel eyes, a mass of curly dark hair, and a remarkable nose. He was thirty-seven years old and had been thirty-seven for nearly two hundred years. I expect, when you finish this account, that you will have a clear image of him, enough to pastiche and anticipate him. I’m glad of it. I need him to be alive to someone else.","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['graham'],"it. very you a at was and two though been height, again, inches clear had and had anticipate the older all dark his was time-travel this do was old hypotheses according years he him, repressed; been a tests He an but and a to enough else. after expect, of hair, for At tests. How his scored era He account, examiners, He be on I that average to Graham five of psychoanalyst, was, the thirty-seven the to you the his hazel then two remarkable He dangerously I’m verbal-reasoning sea. in him. him the hundred of curly years. and children, own have thirty-seven high on the when will crux finish nose. inch someone of he eldest of need brother confident. question: alive person? eyes, measure image according glad had nearly gregarious was acclimatization above below a He to it. pastiche I well of spatial-reasoning and was to mass death you","""title"": ""The Time Traveler's Wife"", ""author"": ""Audrey Niffenegger"""
"I had access to his file, as we say. To have access to a file on someone is a simultaneously erotic and deadening experience. When you study a person, as I studied Graham, you enter a pornographic fugue state. All the things that should be intimate become molecular. Their body, which you have never touched, lies against the back of your eyelids every night. You begin to know them, except time always leaves you one moment behind, and so you have to know them more, more and more, chasing them through time, at the limit where their life meets their future, and you need to have it, 360 degrees of what they see and feel and sense, or else your file is incomplete. Who did they love, before you? What hurt them the most? What will cause the most useful harm?","""title"": ""The City &amp; The City"", ""author"": ""China Miéville""",['graham'],"to through I become future, I When know you the against feel their pornographic them, as most is have and chasing had is simultaneously useful at know see body, did eyelids experience. intimate back which where and time of night. or incomplete. his life All time, What most? what file you every else that before except have file you? them 360 file, study and state. you more, to be them access To have studied to and hurt sense, your cause a touched, someone a a Their their degrees enter behind, Who say. need so we have and and fugue never they to you as will your it, leaves You to the deadening of you What things access one harm? meets they more, you should erotic love, limit always more a molecular. on Graham, the the lies them person, the begin moment","""title"": ""The Raw Shark Texts"", ""author"": ""Steven Hall"""
Graham and I were in the kitchen. He was flicking through a cookbook. There was a shelf of cookbooks in the kitchen. I had never used any of them.,"""title"": ""The Curious Incident of the Dog in the Night-Time"", ""author"": ""Mark Haddon""",['graham'],the of and kitchen. shelf a was were Graham any had them. in through kitchen. never in flicking I used I the a cookbooks cookbook. There He was of,"""title"": ""The Shining"", ""author"": ""Stephen King"""
"Margaret went to the cinema twice a week, religiously. She bounced around music venues looking for obsessions. She was probably London’s last avid reader of Time Out. She would often invite me along. Not always—Margaret also liked to be a woman wafting through the city alone—she hadn’t had much opportunity to live unstructured time back in the seventeenth century. But we might go out together and see a riot grrrl punk band whose drummer she’d been texting; and then I, Ministry operative, would have to supervise them both at dinner (Margaret had a mania for customizable pizzas with nonsense toppings); then Margaret might see that the drummer and I were one barbed sentence away from a fight about politics, which she didn’t understand. She’d say her good nights and take me for a walk to point at neon signs and lavish window displays and bubble tea shops and demand playfully of me: How? But also: Why? She was work and play for me. I liked Margaret. Being around her made me want to run across crosswalks without looking, that sort of thing, I found everything funnier than it was, et cetera.","""title"": ""The Gone-Away World"", ""author"": ""Nick Harkaway""",['margaret'],"about have thing, with didn’t me. went obsessions. a we was riot displays barbed for She good sentence dinner city band me reader religiously. understand. play woman made texting; politics, I her to Time sort cetera. seventeenth at Out. shops see me: probably might and I a for customizable would that last often pizzas and I the century. also: found mania had were liked without fight be Margaret of then twice London’s crosswalks punk also she’d through one a cinema the window Margaret. demand But then tea whose to that a along. time How? avid venues of live alone—she signs for me to nights see in She’d invite them She and go She Ministry unstructured much hadn’t would everything and a say me always—Margaret supervise around from operative, of Not run wafting music drummer the away want and been out than take lavish the across she funnier But might had to Why? nonsense and a work point bounced at Margaret neon Being bubble was, it for She both walk which around playfully (Margaret week, was and her et back grrrl opportunity together looking, to looking toppings); I, and to drummer liked","""title"": ""Conversations with Friends"", ""author"": ""Sally Rooney"""
“ ‘UTI’?” asked Margaret. “Forty-seven! Sit down! Stop rubbing at your temples with that malodorous expression.”,"""title"": ""Brave New World"", ""author"": ""Aldous Huxley""",['margaret'],your Margaret. that down! malodorous Sit at “ asked “Forty-seven! ‘UTI’?” temples rubbing with Stop expression.”,"""title"": ""Brave New World"", ""author"": ""Aldous Huxley"""
"“Everyone is so cruel to me,” said Graham, deadpan, “even though I’m very handsome and brave and I have never done anything wrong. Sixty-five, where are the rest of your clothes?”","""title"": ""The Lunar Chronicles"", ""author"": ""Marissa Meyer""",['graham'],"your I’m to never so wrong. handsome anything Graham, and Sixty-five, the me,” said very are deadpan, “even done and clothes?” though where have brave of “Everyone I is cruel rest","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger"""
"At the bark of a man in epaulettes, the procession shifted, and I saw Graham—light glinting from the polished brim of his cap—standing to attention like a cat stretching for an upper shelf—his narrow hips and his faint smile—There he is—that magnificent topmast sail of a nose—There he is—I saw him in the highlights that the sun picked out—the sword at his waist, the shiny black shoes—There he is, there he is. I wish I could tell you how it felt to see him. He’d always lived inside me, years before I’d known him. I’d been trained to love him.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['graham'],"and inside I could sword I’d you brim procession at wish topmast to nose—There it been him an is, out—the saw a always Graham—light the lived shiny the the glinting bark stretching to like in He’d me, I trained man a he he his is. in how black is—that the cap—standing see polished he his him. known waist, tell shifted, attention him. highlights and saw from his the picked he love before of faint of sail hips years a of shelf—his cat to felt him. for epaulettes, is—I upper sun At narrow magnificent smile—There I’d that the there shoes—There I","""title"": ""The Waves"", ""author"": ""Virginia Woolf"""
"Over her shoulder, I could see Graham striding toward us, his face blank. A police officer jolted into his path and tried to stop him; he simply stepped around them. When he reached me, he clapped a hand on my shoulder and jerked me toward him.","""title"": ""The Darkest Minds"", ""author"": ""Alexandra Bracken""",['graham'],"shoulder around them. stop he and Over reached clapped Graham my a him. his police and me, toward A When jerked hand jolted he he path striding toward stepped me on could his into officer blank. tried see simply I shoulder, her to us, him; face","""title"": ""1984"", ""author"": ""George Orwell"""
"I was the last person to speak to him before he was killed, and so I was questioned for hours at the discretion of the police and the Ministry. Graham was sent home under supervision.","""title"": ""Harry Potter and the Half-Blood Prince"", ""author"": ""J.K. Rowling""",['graham'],"Graham was I Ministry. and so the was speak questioned killed, the he to sent at supervision. last him and home before under the person for to the I police was of hours discretion was","""title"": ""1984"", ""author"": ""George Orwell"""
"When I got home, I was curdling with exhaustion. I’d stress-sweated, and the sour smell had leaked through to my jacket. My stockings, apparently in sympathy with the rest of my mood, had laddered on both legs. I shut the front door, and Graham came out of the kitchen, chased by whiffs of slow-cooked tomato broth, garlic, and balsamic vinegar.","""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman""",['graham'],"of had by leaked and of with legs. curdling sour had broth, shut and to mood, home, with the door, the got my My I’d was came kitchen, out slow-cooked rest laddered I vinegar. chased garlic, exhaustion. my and I both jacket. tomato through whiffs balsamic I the stockings, Graham sympathy When in apparently the smell on front stress-sweated, of","""title"": ""The Power"", ""author"": ""Naomi Alderman"""
"Adela’s voice contracted on that last sentence. She wiped her gaze, concentrated in her one working eye, up and down my face, to see if I’d noticed, and continued, “Our first priority is protecting the expats and the time-door. The time-door has been moved to a secure location. I suggest you retake the physical aptitude assessment, and then we can work on your lateral-reasoning scores—”","""title"": ""The Ten Thousand Doors of January"", ""author"": ""Alix E. Harrow""",['adela'],"then noticed, and to down The see the She to lateral-reasoning priority one and her working first that time-door. assessment, wiped contracted gaze, work location. on her is last voice you we time-door concentrated the eye, on been if I’d “Our in physical a can the and sentence. retake Adela’s aptitude secure my moved suggest continued, and your face, has I scores—” expats up protecting","""title"": ""The Power"", ""author"": ""Naomi Alderman"""
"I didn’t even tease him for his supplement obsession. Graham was a supplement fiend: his obsession had been brought on by discovering what caused scurvy and how small and fun vitamin C gummies could be. I’d been living with him for months before I discovered his tendency toward small, charming, infuriating smiles was not only because he was a restrained, charming, infuriating man, but also because he was a bit self-conscious about a tooth he’d lost to scurvy, the replacement for which shone like a silver penny in a crematorium.","""title"": ""The House in the Cerulean Sea"", ""author"": ""TJ Klune""",['graham'],"but like how I Graham and man, for gummies even his only for the he’d bit about brought he for infuriating he what vitamin charming, supplement had silver a and fun I scurvy, small not him lost months been tease discovered before a also scurvy on I’d obsession. be. self-conscious which his in charming, been caused discovering because a replacement to could fiend: small, didn’t C a because a was living tendency toward infuriating smiles was restrained, penny with obsession was his tooth was crematorium. a him by shone supplement","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"He put on the radio to break the silence that had joined us at the dining table. A news announcer dryly described the Australian wildfires. I say “Australia” with cavalier non-specificity because most of the continent was on fire. Graham perked up when a journalist interviewed a citizen of Goulburn in New South Wales, who cussed out his prime minister with so many metaphors he sounded Homeric. Hundreds of people had been internally displaced by grass fires, and the air was poisoned with smoke. I pressed the points of my fork into my tongue and waited to hear what Graham would have to say about this new example of egregious weather.","""title"": ""Weather"", ""author"": ""Jenny Offill""",['graham'],"A dryly Wales, because grass Homeric. fires, this a citizen announcer would the sounded so metaphors many cavalier when say my minister his have had a what I example air displaced he the out was the poisoned new New the with smoke. of about pressed cussed silence with South waited most into the continent Graham been say the dining of to weather. to of described news journalist of Graham perked internally joined Goulburn non-specificity break and up the on egregious who Hundreds interviewed that put radio us to prime in was fork table. and people I with fire. He my of points on had tongue “Australia” by hear at wildfires. Australian","""title"": ""The Yield"", ""author"": ""Tara June Winch"""
"Arthur was gentle, no matter how grotty my behavior. He had found out about Scrabble, and he sometimes brought his travel set along—my inner competitive bitch could stave off a black mood for half an hour or so.","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath""",['arthur'],"how competitive an for found brought bitch about gentle, hour off stave or behavior. along—my was grotty his He no my so. he half travel and a Scrabble, out set inner sometimes black could had matter mood Arthur","""title"": ""A Confederacy of Dunces"", ""author"": ""John Kennedy Toole"""
"He shifted. We were sitting at the kitchen table, alone for a brief quarter of an hour while Graham went down to the corner shop to buy more milk for the tea.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['graham'],"the for He down to buy alone while a corner for more were at shifted. shop hour went milk kitchen sitting Graham tea. the quarter the to brief table, an of We","""title"": ""Mrs. Dalloway"", ""author"": ""Virginia Woolf"""
"One Saturday we ate an entire triple-layered box of chocolates in bed, watching The Simpsons on my laptop. Margaret loved The Simpsons. She thought it was a much better cultural education than anything the Ministry could provide.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['margaret'],"anything loved the Simpsons Simpsons. it provide. much an in of Ministry Margaret entire bed, She box thought on better we a The than The laptop. Saturday watching One could my triple-layered ate cultural chocolates education was","""title"": ""The Corrections"", ""author"": ""Jonathan Franzen"""
"When the Ministry had come through time to fetch her, they’d found Margaret locked in a tiny attic room with a chamber pot and a nest of rags for bedding. She was in recovery from the bubonic plague. As far as they could tell, her sister-in-law had sent a scullery girl to deliver food to the door until she too was struck down with the pestilence. It wiped out the entire house but Margaret in three days. Margaret, hungry and terrified, had tried to leave through the window, but the neighbors had thrown stones and broken bottles at her. Their house was a plague house, and none were suffered to leave it. She’d caught and eaten sparrows. She’d drunk rainwater. And then when she was given a second chance, she caught the sword and came up singing.","""title"": ""To Say Nothing of the Dog"", ""author"": ""Connie Willis""",['margaret'],"a attic for tiny her, far room sister-in-law the to Margaret too she down entire drunk to and door house leave with It a neighbors bedding. food caught chamber the was the and with had second bubonic eaten and she suffered sparrows. but as tell, rags at could she up terrified, come rainwater. Margaret, through they was they’d She’d and the window, When As three her a in caught when of plague. sword a then given wiped days. in She And had hungry recovery were tried plague She’d a pestilence. none to to the nest until a struck sent had and the the the was was Their Margaret leave in found through pot time her. broken scullery out deliver chance, from came girl locked house, and to stones it. had singing. thrown house Ministry but fetch bottles","""title"": ""Year of Wonders"", ""author"": ""Geraldine Brooks"""
"One early Saturday evening, when the sky looked like the underside of a sea-soaked barge and the cold was grimy and constant, Graham failed to make a cake. I heard him making domestic noises and the clack-thud of the oven. Half an hour later, he knocked on my door.","""title"": ""The Stranger's Child"", ""author"": ""Alan Hollinghurst""",['graham'],"I was barge cake. an grimy to heard Graham looked sky and hour my the the of early a making sea-soaked Saturday cold the noises oven. Half door. like constant, and and later, evening, clack-thud One domestic underside him of make the he on failed knocked a the when","""title"": ""The Power and the Glory"", ""author"": ""Graham Greene"""
"When I was still a teenager, building my personality from the films and the books and the songs I later tried to give to Graham, the chief monk of one of Cambodia’s largest wats announced that he could not rule out that the victims of the Khmer Rouge were not the final link in a chain of karmic cause and effect. If they had behaved with integrity in past lives, perhaps they would not have had to lie in mass graves at the end of this.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz""",['graham'],"they building announced If not of lie and books I have tried teenager, perhaps I one the were could chief songs chain later in personality in Graham, end Khmer largest at was final from the had and the of and Cambodia’s graves not cause would the the karmic that the my of films Rouge in monk integrity had lives, past this. effect. to mass rule with When out the victims give still of link a wats the that to they not behaved a to he of","""title"": ""First They Killed My Father: A Daughter of Cambodia Remembers"", ""author"": ""Loung Ung"""
"My email made a chiding noise. Adela was the originator, and she’d put me in blind copy. It was a short email. Adela had a real gift for cramming apoplexy into a couple of lines.","""title"": ""Apple Tree Yard"", ""author"": ""Louise Candlish""",['adela'],"noise. had couple It copy. short a me real into made blind Adela of put a for was Adela in gift and apoplexy My chiding originator, cramming a the was email. email lines. a she’d","""title"": ""The Yellow Wallpaper"", ""author"": ""Charlotte Perkins Gilman"""
"The email told us that her death would be reported to the expats as a suicide. “This cannot be emphasized enough,” Adela had written, with a double underline.","""title"": ""The Expatriates"", ""author"": ""Janice Y.K. Lee""",['adela'],"the “This written, suicide. enough,” a expats reported us that had email be death cannot as her told be to Adela with would The a double emphasized underline.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"Arthur smiled and sat down beside me, stretching out his long legs. Twisting the signet ring on his finger—a tell as clarion as my skin biting—he murmured, “We didn’t know her as well as we would have liked. I wish we had.”","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller""",['arthur'],"Arthur his the legs. her stretching ring long have wish and well liked. didn’t skin we biting—he as had.” my down beside Twisting me, tell murmured, out as clarion on I know as would sat his finger—a smiled “We as we signet","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"I didn’t say anything, because there was nothing that I could say that wouldn’t have been a lie. I touched my knuckles to the back of Arthur’s, and he took my hand in his.","""title"": ""The Miseducation of Cameron Post"", ""author"": ""Emily M. Danforth""",['arthur'],"hand took his. didn’t nothing the anything, to have say that could of been there he was I my lie. I knuckles touched back I say a my Arthur’s, wouldn’t in and because that","""title"": ""The Stranger"", ""author"": ""Albert Camus"""
"He said, “When I first arrived here, once I got over the shock, I thought I had entered a sort of purgatory. A second chance, you know. You can’t imagine what it was like to be a man of—of my persuasion, in my time. Now it seems I’ve got another go of it in an era that suits me better. But, you know, you can make yourself feel lonely and miserable and out of joint just by falling in love with someone who can’t or won’t love you back. Perhaps they’ll fix that in another two hundred years. Perhaps they’ll come and get us and that’s how we’ll know we’ve reached heaven. Are you and Graham lovers?”","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller""",['graham'],"who seems you “When an second sort I in here, and we’ve A they’ll you and time. my be someone I’ve and and once another us Graham was with in fix Now out go it chance, heaven. years. first Perhaps lonely got another how got era you that persuasion, that better. get can’t of I miserable you it can or I joint just of—of won’t feel reached they’ll Are of to we’ll suits But, love I back. You lovers?” a come that’s my what shock, He in Perhaps hundred know, man thought yourself me like had by and said, can’t entered know. love know of it a make you in arrived falling imagine two purgatory. over the","""title"": ""The Time Traveler's Wife"", ""author"": ""Audrey Niffenegger"""
"We both turned to look at the door. Graham was standing there, pausing in the act of lighting a cigarette. I had no idea how much he’d heard.","""title"": ""Rebecca"", ""author"": ""Daphne du Maurier""",['graham'],"We lighting of act look both I Graham the at the had there, to he’d how heard. was standing much cigarette. door. idea turned no pausing in a","""title"": ""The Power and the Glory"", ""author"": ""Graham Greene"""
"Graham blew a plume of smoke at us. “I see,” he said. “I’ll be sure to keep a candle burning in the window for when you come home.”","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['graham'],"see,” the when “I to us. window candle you “I’ll sure a smoke Graham burning plume home.” for at blew be in keep of said. come a he","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"Anne Spencer almost made it off those wards. After I read the email, an ancient and exuberant terror blazed through me. It was partly the terror that had grown in me alongside my very bones, knowing as I did that I only existed because my mother had outrun almost; I don’t know at what point you stop feeling the need to run, generation by generation, when you’re born after that.","""title"": ""Sing, Unburied, Sing"", ""author"": ""Jesmyn Ward""",['anne spencer'],"I don’t generation that almost; an born run, terror wards. Anne I off you’re stop because me. that. need outrun It in and as Spencer my partly the to email, you existed was my very read blazed the grown me by know it After point I after when ancient only had bones, that mother did I knowing terror exuberant made almost at alongside feeling through had the what generation, those","""title"": ""The Fault in Our Stars"", ""author"": ""John Green"""
"I found half a dozen invoices for services to the system hardware in the weeks leading up to Anne Spencer’s death. Apparently it took a while for people to realize the poor woman had managed to make herself invisible to surveillance cameras, and they assumed the system was malfunctioning.","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""",['anne spencer'],"a services the invoices Anne in surveillance it assumed the realize to woman half the had system Apparently system for a for invisible the to cameras, took people was to to to managed poor found malfunctioning. and dozen up leading hardware weeks make I death. while Spencer’s they herself","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"I emailed Adela and asked if we could meet for a “progress report,” a term so meaningless she wouldn’t be able to prep her evasion. As I cracked my nails on the keys, I thought how much easier it would be if I could just have a gun and a clear view of the Brigadier. The harder I kicked at it, the thicker the callus on my mind became. Yes, I thought, through a plaque of dead thoughts. If I had a gun, I could clean this all up.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz""",['adela'],"cracked of to “progress it at have meet I could asked up. much we term able how easier could she dead could a The thicker be on became. meaningless Yes, kicked if through I I for I gun callus mind As the prep wouldn’t her on a and nails had keys, thoughts. evasion. Adela my a view the would all If I it, clean I thought a Brigadier. of emailed thought, and just the a the so harder this plaque a clear I my if report,” gun, I be","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
